,Copy and paste tables as many times as needed,,,,,,
"Group name: Algae Gang - Faye, Kenna, Greg, Maya L.",,,,,,,
EXPERIMENT 1,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,13,5,3,5,2,0
2,,,14,11,1,3,0
3,,,,16,7,4,6
4,,,,,11,5,4
5,,,,,,13,10
6,,,,,,,15
,,,,,,,
,,,,,,,
Group name: Algae Gang,,,,,,,
EXPERIMENT 2,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,18,11,6,0,1,0
2,,,26,7,1,3,1
3,,,,25,18,4,0
4,,,,,36,9,0
5,,,,,,42,4
6,,,,,,,46
,,,,,,,
,,,,,,,
Group name: Algae Gang,,,,,,,
EXPERIMENT 3,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,2,1,0,0,0,0
2,,,3,3,0,2,0
3,,,,5,3,1,1
4,,,,,12,4,1
5,,,,,,12,5
6,,,,,,,9
,,,,,,,
,,,,,,,
Group name: Bees Knees (Lujain),,,,,,,
EXPERIMENT 1,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,14,7,5,5,0,0
2,,,15,9,4,3,0
3,,,,14,9,6,4
4,,,,,17,8,3
5,,,,,,10,6
6,,,,,,,15
,,,,,,,
,,,,,,,
Group name:  Bees Knees (Rowah),,,,,,,
EXPERIMENT 2,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,15,11,8,1,2,0
2,,,25,9,6,0,0
3,,,,25,10,4,0
4,,,,,38,11,0
5,,,,,,41,1
6,,,,,,,49
,,,,,,,
Group name: Bees Knees,,,,,,,
EXPERIMENT 3,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,3,0,0,0,0,0
2,,,2,2,0,0,0
3,,,,3,3,1,0
4,,,,,9,0,0
5,,,,,,10,3
6,,,,,,,10
,,,,,,,
,Copy and paste tables as many times as needed,,,,,,
"Group name: Bean Bros (Casey, Jack, Ching, Larry)",,,,,,,
EXPERIMENT 1,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,16,12,3,0,0,2
2,,,8,10,8,2,1
3,,,,18,14,4,1
4,,,,,11,9,5
5,,,,,,11,10
6,,,,,,,19
,,,,,,,
,,,,,,,
Group name: Bean Bros,,,,,,,
EXPERIMENT 2,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,17,13,2,4,2,0
2,,,18,12,6,3,0
3,,,,23,11,4,0
4,,,,,32,11,1
5,,,,,,38,8
6,,,,,,,42
,,,,,,,
,,,,,,,
Group name: Bean Bros,,,,,,,
EXPERIMENT 3,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,2,0,2,0,0,0
2,,,2,3,1,1,0
3,,,,3,2,2,0
4,,,,,10,4,2
5,,,,,,6,1
6,,,,,,,13
,,,,,,,
,,,,,,,
,Copy and paste tables as many times as needed,,,,,,
"Group name:  Chicken wings. Cathy, Rachel, Eora, Francesca",,,,,,,
EXPERIMENT 1,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,15,14,3,1,2,0
2,,,15,8,7,3,2
3,,,,14,13,7,2
4,,,,,16,7,6
5,,,,,,15,6
6,,,,,,,14
,,,,,,,
,,,,,,,
Group name: chicken wings,,,,,,,
EXPERIMENT 2,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,18,11,5,3,1,0
2,,,21,15,4,3,0
3,,,,33,9,1,0
4,,,,,32,14,1
5,,,,,,41,2
6,,,,,,,47
,,,,,,,
,,,,,,,
Group name: chicken wings ,,,,,,,
EXPERIMENT 3,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,2,0,0,1,0,0
2,,,5,1,1,0,0
3,,,,5,3,0,1
4,,,,,9,6,3
5,,,,,,8,2
6,,,,,,,11
,,,,,,,
,,,,,,,
"Group name: Seagulls (Jacqueline Tingle, Sarah Sun, Audra Cornick, Sydney Blackwell)",,,,,,,
EXPERIMENT 1,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,20,6,2,2,1,1
2,,,13,9,7,4,0
3,,,,15,8,3,1
4,,,,,10,6,8
5,,,,,,14,18
6,,,,,,,16
,,,,,,,
,,,,,,,
Group name: Seagulls,,,,,,,
EXPERIMENT 2,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,17,12,5,3,0,0
2,,,22,16,10,1,0
3,,,,21,10,7,2
4,,,,,29,21,6
5,,,,,,31,7
6,,,,,,,36
,,,,,,,
,,,,,,,
Group name: Seagulls,,,,,,,
EXPERIMENT 3,,time of capture,,,,,
time of last capture,1,2,3,4,5,6,7
1,,2,0,0,0,1,0
2,,,3,1,0,1,0
3,,,,5,4,0,0
4,,,,,10,7,1
5, ,,,,,9,5
6,,,,,,,7